product_id,product_name,category,subcategory,supplier,color,price_per_meter_inr,moq_meters,stock_meters,verified,available,image_file
34,High Density Mustard Colored Denim,Denim,Colored Denim,Natural Linen Mills,Mustard,518,750,3200,True,True,texverse-034.jpg
35,Soft Touch Rust Lightweight Denim,Denim,Lightweight Denim,Modern Fiber Industries,Rust,535,1000,5000,True,True,texverse-035.jpg
36,Performance Pink Lightweight Denim,Denim,Lightweight Denim,Tex Custom House,Pink,552,200,1200,True,True,texverse-036.jpg
37,Professional Ivory Mulberry Silk,Silk,Mulberry Silk,Sunrise Fabrics,Ivory,1039,300,1800,True,True,texverse-037.jpg
38,Durable Teal Mulberry Silk,Silk,Mulberry Silk,Apex Textile Works,Teal,1056,500,2500,True,True,texverse-038.jpg
39,Signature Brown Tussar Silk,Silk,Tussar Silk,Bharat Weaves,Brown,1073,750,3200,True,True,texverse-039.jpg
40,Commercial Natural Tussar Silk,Silk,Tussar Silk,Prime Looms,Natural,1090,1000,5000,True,True,texverse-040.jpg
41,Premium White Silk Satin,Silk,Silk Satin,East India Textiles,White,1107,200,1200,True,True,texverse-041.jpg
42,Classic Black Silk Satin,Silk,Silk Satin,Arvind Fabric Hub,Black,1124,300,1800,True,True,texverse-042.jpg
43,Export Quality Navy Silk Crepe,Silk,Silk Crepe,Metro Textile Supply,Navy,961,500,2500,True,True,texverse-043.jpg
44,High Density Royal Blue Silk Crepe,Silk,Silk Crepe,Vardhman Fabrics,Royal Blue,978,750,3200,True,True,texverse-044.jpg
45,Soft Touch Sky Blue Silk Chiffon,Silk,Silk Chiffon,Sapphire Textile Mills,Sky Blue,995,1000,5000,True,True,texverse-045.jpg
46,Performance Maroon Silk Chiffon,Silk,Silk Chiffon,Sharma Textiles,Maroon,1012,200,1200,True,True,texverse-046.jpg
47,Professional Wine Silk Organza,Silk,Silk Organza,Global Denim Mills,Wine,1029,300,1800,True,True,texverse-047.jpg
48,Durable Bottle Green Silk Organza,Silk,Silk Organza,Royal Silk House,Bottle Green,1046,500,2500,True,True,texverse-048.jpg
49,Signature Olive Silk Georgette,Silk,Silk Georgette,Natural Linen Mills,Olive,1063,750,3200,True,True,texverse-049.jpg
50,Commercial Beige Silk Georgette,Silk,Silk Georgette,Modern Fiber Industries,Beige,1080,1000,5000,True,True,texverse-050.jpg
51,Premium Cream Dupion Silk,Silk,Dupion Silk,Tex Custom House,Cream,1097,200,1200,True,True,texverse-051.jpg
52,Classic Grey Dupion Silk,Silk,Dupion Silk,Sunrise Fabrics,Grey,1114,300,1800,True,True,texverse-052.jpg
53,Export Quality Charcoal Pure Linen,Linen,Pure Linen,Apex Textile Works,Charcoal,561,500,2500,True,True,texverse-053.jpg
54,High Density Mustard Pure Linen,Linen,Pure Linen,Bharat Weaves,Mustard,578,750,3200,True,True,texverse-054.jpg
55,Soft Touch Rust Linen Blend,Linen,Linen Blend,Prime Looms,Rust,595,1000,5000,True,True,texverse-055.jpg
56,Performance Pink Linen Blend,Linen,Linen Blend,East India Textiles,Pink,612,200,1200,True,True,texverse-056.jpg
57,Professional Ivory Linen Canvas,Linen,Linen Canvas,Arvind Fabric Hub,Ivory,629,300,1800,True,True,texverse-057.jpg
58,Durable Teal Linen Canvas,Linen,Linen Canvas,Metro Textile Supply,Teal,646,500,2500,True,True,texverse-058.jpg
59,Signature Brown Linen Rayon,Linen,Linen Rayon,Vardhman Fabrics,Brown,663,750,3200,True,True,texverse-059.jpg
60,Commercial Natural Linen Rayon,Linen,Linen Rayon,Sapphire Textile Mills,Natural,680,1000,5000,True,True,texverse-060.jpg
61,Premium White Linen Viscose,Linen,Linen Viscose,Sharma Textiles,White,697,200,1200,True,True,texverse-061.jpg
62,Classic Black Linen Viscose,Linen,Linen Viscose,Global Denim Mills,Black,714,300,1800,True,True,texverse-062.jpg
63,Export Quality Navy Linen Twill,Linen,Linen Twill,Royal Silk House,Navy,731,500,2500,True,True,texverse-063.jpg
64,High Density Royal Blue Linen Twill,Linen,Linen Twill,Natural Linen Mills,Royal Blue,568,750,3200,True,True,texverse-064.jpg
65,Soft Touch Sky Blue Linen Slub,Linen,Linen Slub,Modern Fiber Industries,Sky Blue,585,1000,5000,True,True,texverse-065.jpg
66,Performance Maroon Linen Slub,Linen,Linen Slub,Tex Custom House,Maroon,602,200,1200,True,True,texverse-066.jpg
67,Professional Wine Performance Polyester,Polyester,Performance Polyester,Sunrise Fabrics,Wine,279,300,1800,True,True,texverse-067.jpg
68,Durable Bottle Green Performance Polyester,Polyester,Performance Polyester,Apex Textile Works,Bottle Green,296,500,2500,True,True,texverse-068.jpg
69,Signature Olive Polyester Crepe,Polyester,Polyester Crepe,Bharat Weaves,Olive,313,750,3200,True,True,texverse-069.jpg
70,Commercial Beige Polyester Crepe,Polyester,Polyester Crepe,Prime Looms,Beige,330,1000,5000,True,True,texverse-070.jpg
71,Premium Cream Polyester Satin,Polyester,Polyester Satin,East India Textiles,Cream,347,200,1200,True,True,texverse-071.jpg
72,Classic Grey Polyester Satin,Polyester,Polyester Satin,Arvind Fabric Hub,Grey,364,300,1800,True,True,texverse-072.jpg
73,Export Quality Charcoal Polyester Georgette,Polyester,Polyester Georgette,Metro Textile Supply,Charcoal,381,500,2500,True,True,texverse-073.jpg
74,High Density Mustard Polyester Georgette,Polyester,Polyester Georgette,Vardhman Fabrics,Mustard,398,750,3200,True,True,texverse-074.jpg
75,Soft Touch Rust Polyester Taffeta,Polyester,Polyester Taffeta,Sapphire Textile Mills,Rust,235,1000,5000,True,True,texverse-075.jpg
76,Performance Pink Polyester Taffeta,Polyester,Polyester Taffeta,Sharma Textiles,Pink,252,200,1200,True,True,texverse-076.jpg
77,Professional Ivory Micro Polyester,Polyester,Micro Polyester,Global Denim Mills,Ivory,269,300,1800,True,True,texverse-077.jpg
78,Durable Teal Micro Polyester,Polyester,Micro Polyester,Royal Silk House,Teal,286,500,2500,True,True,texverse-078.jpg
79,Signature Brown Polyester Spandex,Polyester,Polyester Spandex,Natural Linen Mills,Brown,303,750,3200,True,True,texverse-079.jpg
80,Commercial Natural Polyester Spandex,Polyester,Polyester Spandex,Modern Fiber Industries,Natural,320,1000,5000,True,True,texverse-080.jpg
81,Premium White Rayon Challis,Rayon,Rayon Challis,Tex Custom House,White,407,200,1200,True,True,texverse-081.jpg
82,Classic Black Rayon Challis,Rayon,Rayon Challis,Sunrise Fabrics,Black,424,300,1800,True,True,texverse-082.jpg
83,Export Quality Navy Rayon Twill,Rayon,Rayon Twill,Apex Textile Works,Navy,441,500,2500,True,True,texverse-083.jpg
84,High Density Royal Blue Rayon Twill,Rayon,Rayon Twill,Bharat Weaves,Royal Blue,458,750,3200,True,True,texverse-084.jpg
85,Soft Touch Sky Blue Rayon Crepe,Rayon,Rayon Crepe,Prime Looms,Sky Blue,295,1000,5000,True,True,texverse-085.jpg
86,Performance Maroon Rayon Crepe,Rayon,Rayon Crepe,East India Textiles,Maroon,312,200,1200,True,True,texverse-086.jpg
87,Professional Wine Rayon Viscose,Rayon,Rayon Viscose,Arvind Fabric Hub,Wine,329,300,1800,True,True,texverse-087.jpg
88,Durable Bottle Green Rayon Viscose,Rayon,Rayon Viscose,Metro Textile Supply,Bottle Green,346,500,2500,True,True,texverse-088.jpg
89,Signature Olive Rayon Satin,Rayon,Rayon Satin,Vardhman Fabrics,Olive,363,750,3200,True,True,texverse-089.jpg
90,Commercial Beige Rayon Satin,Rayon,Rayon Satin,Sapphire Textile Mills,Beige,380,1000,5000,True,True,texverse-090.jpg
91,Premium Cream Rayon Slub,Rayon,Rayon Slub,Sharma Textiles,Cream,397,200,1200,True,True,texverse-091.jpg
92,Classic Grey Rayon Slub,Rayon,Rayon Slub,Global Denim Mills,Grey,414,300,1800,True,True,texverse-092.jpg
93,Export Quality Charcoal Viscose Twill,Viscose,Viscose Twill,Royal Silk House,Charcoal,471,500,2500,True,True,texverse-093.jpg
94,High Density Mustard Viscose Twill,Viscose,Viscose Twill,Natural Linen Mills,Mustard,488,750,3200,True,True,texverse-094.jpg
95,Soft Touch Rust Viscose Crepe,Viscose,Viscose Crepe,Modern Fiber Industries,Rust,505,1000,5000,True,True,texverse-095.jpg
96,Performance Pink Viscose Crepe,Viscose,Viscose Crepe,Tex Custom House,Pink,342,200,1200,True,True,texverse-096.jpg
97,Professional Ivory Viscose Satin,Viscose,Viscose Satin,Sunrise Fabrics,Ivory,359,300,1800,True,True,texverse-097.jpg
98,Durable Teal Viscose Satin,Viscose,Viscose Satin,Apex Textile Works,Teal,376,500,2500,True,True,texverse-098.jpg
99,Signature Brown Viscose Georgette,Viscose,Viscose Georgette,Bharat Weaves,Brown,393,750,3200,True,True,texverse-099.jpg
100,Commercial Natural Viscose Georgette,Viscose,Viscose Georgette,Prime Looms,Natural,410,1000,5000,True,True,texverse-100.jpg
101,Premium White Viscose Challis,Viscose,Viscose Challis,East India Textiles,White,427,200,1200,True,True,texverse-101.jpg
102,Classic Black Viscose Challis,Viscose,Viscose Challis,Arvind Fabric Hub,Black,444,300,1800,True,True,texverse-102.jpg
103,Export Quality Navy Viscose Jacquard,Viscose,Viscose Jacquard,Metro Textile Supply,Navy,461,500,2500,True,True,texverse-103.jpg
104,High Density Royal Blue Viscose Jacquard,Viscose,Viscose Jacquard,Vardhman Fabrics,Royal Blue,478,750,3200,True,True,texverse-104.jpg
105,Soft Touch Sky Blue Merino Wool,Wool,Merino Wool,Sapphire Textile Mills,Sky Blue,945,1000,5000,True,True,texverse-105.jpg
106,Performance Maroon Merino Wool,Wool,Merino Wool,Sharma Textiles,Maroon,782,200,1200,True,True,texverse-106.jpg
107,Professional Wine Wool Melton,Wool,Wool Melton,Global Denim Mills,Wine,799,300,1800,True,True,texverse-107.jpg
108,Durable Bottle Green Wool Melton,Wool,Wool Melton,Royal Silk House,Bottle Green,816,500,2500,True,True,texverse-108.jpg
109,Signature Olive Wool Flannel,Wool,Wool Flannel,Natural Linen Mills,Olive,833,750,3200,True,True,texverse-109.jpg
110,Commercial Beige Wool Flannel,Wool,Wool Flannel,Modern Fiber Industries,Beige,850,1000,5000,True,True,texverse-110.jpg
111,Premium Cream Wool Blend,Wool,Wool Blend,Tex Custom House,Cream,867,200,1200,True,True,texverse-111.jpg
112,Classic Grey Wool Blend,Wool,Wool Blend,Sunrise Fabrics,Grey,884,300,1800,True,True,texverse-112.jpg
113,Export Quality Charcoal Tropical Wool,Wool,Tropical Wool,Apex Textile Works,Charcoal,901,500,2500,True,True,texverse-113.jpg
114,High Density Mustard Tropical Wool,Wool,Tropical Wool,Bharat Weaves,Mustard,918,750,3200,True,True,texverse-114.jpg
115,Soft Touch Rust Wool Crepe,Wool,Wool Crepe,Prime Looms,Rust,935,1000,5000,True,True,texverse-115.jpg
116,Performance Pink Wool Crepe,Wool,Wool Crepe,East India Textiles,Pink,952,200,1200,True,True,texverse-116.jpg
117,Professional Ivory Wool Tweed,Wool,Wool Tweed,Arvind Fabric Hub,Ivory,789,300,1800,True,True,texverse-117.jpg
118,Durable Teal Wool Tweed,Wool,Wool Tweed,Metro Textile Supply,Teal,806,500,2500,True,True,texverse-118.jpg
119,Signature Brown Single Jersey,Knits,Single Jersey,Vardhman Fabrics,Brown,403,750,3200,True,True,texverse-119.jpg
120,Commercial Natural Single Jersey,Knits,Single Jersey,Sapphire Textile Mills,Natural,420,1000,5000,True,True,texverse-120.jpg
121,Premium White Interlock Knit,Knits,Interlock Knit,Sharma Textiles,White,437,200,1200,True,True,texverse-121.jpg
122,Classic Black Interlock Knit,Knits,Interlock Knit,Global Denim Mills,Black,454,300,1800,True,True,texverse-122.jpg
123,Export Quality Navy Rib Knit,Knits,Rib Knit,Royal Silk House,Navy,471,500,2500,True,True,texverse-123.jpg
124,High Density Royal Blue Rib Knit,Knits,Rib Knit,Natural Linen Mills,Royal Blue,488,750,3200,True,True,texverse-124.jpg
125,Soft Touch Sky Blue Pique Knit,Knits,Pique Knit,Modern Fiber Industries,Sky Blue,505,1000,5000,True,True,texverse-125.jpg
126,Performance Maroon Pique Knit,Knits,Pique Knit,Tex Custom House,Maroon,522,200,1200,True,True,texverse-126.jpg
127,Professional Wine French Terry,Knits,French Terry,Sunrise Fabrics,Wine,539,300,1800,True,True,texverse-127.jpg
128,Durable Bottle Green French Terry,Knits,French Terry,Apex Textile Works,Bottle Green,376,500,2500,True,True,texverse-128.jpg
129,Signature Olive Fleece Knit,Knits,Fleece Knit,Bharat Weaves,Olive,393,750,3200,True,True,texverse-129.jpg
130,Commercial Beige Fleece Knit,Knits,Fleece Knit,Prime Looms,Beige,410,1000,5000,True,True,texverse-130.jpg
131,Premium Cream Ottoman Knit,Knits,Ottoman Knit,East India Textiles,Cream,427,200,1200,True,True,texverse-131.jpg
132,Classic Grey Ottoman Knit,Knits,Ottoman Knit,Arvind Fabric Hub,Grey,444,300,1800,True,True,texverse-132.jpg
133,Export Quality Charcoal Scuba Knit,Knits,Scuba Knit,Metro Textile Supply,Charcoal,461,500,2500,True,True,texverse-133.jpg
134,High Density Mustard Scuba Knit,Knits,Scuba Knit,Vardhman Fabrics,Mustard,478,750,3200,True,True,texverse-134.jpg
135,Soft Touch Rust Cotton Polyester,Blends,Cotton Polyester,Sapphire Textile Mills,Rust,445,1000,5000,True,True,texverse-135.jpg
136,Performance Pink Cotton Polyester,Blends,Cotton Polyester,Sharma Textiles,Pink,462,200,1200,True,True,texverse-136.jpg
137,Professional Ivory Cotton Viscose,Blends,Cotton Viscose,Global Denim Mills,Ivory,479,300,1800,True,True,texverse-137.jpg
138,Durable Teal Cotton Viscose,Blends,Cotton Viscose,Royal Silk House,Teal,316,500,2500,True,True,texverse-138.jpg
139,Signature Brown Cotton Linen,Blends,Cotton Linen,Natural Linen Mills,Brown,333,750,3200,True,True,texverse-139.jpg
140,Commercial Natural Cotton Linen,Blends,Cotton Linen,Modern Fiber Industries,Natural,350,1000,5000,True,True,texverse-140.jpg
141,Premium White Polyester Viscose,Blends,Polyester Viscose,Tex Custom House,White,367,200,1200,True,True,texverse-141.jpg
142,Classic Black Polyester Viscose,Blends,Polyester Viscose,Sunrise Fabrics,Black,384,300,1800,True,True,texverse-142.jpg
143,Export Quality Navy Wool Polyester,Blends,Wool Polyester,Apex Textile Works,Navy,401,500,2500,True,True,texverse-143.jpg
144,High Density Royal Blue Wool Polyester,Blends,Wool Polyester,Bharat Weaves,Royal Blue,418,750,3200,True,True,texverse-144.jpg
145,Soft Touch Sky Blue Linen Cotton,Blends,Linen Cotton,Prime Looms,Sky Blue,435,1000,5000,True,True,texverse-145.jpg
146,Performance Maroon Linen Cotton,Blends,Linen Cotton,East India Textiles,Maroon,452,200,1200,True,True,texverse-146.jpg
147,Professional Wine Cotton Elastane,Blends,Cotton Elastane,Arvind Fabric Hub,Wine,469,300,1800,True,True,texverse-147.jpg
148,Durable Bottle Green Cotton Elastane,Blends,Cotton Elastane,Metro Textile Supply,Bottle Green,486,500,2500,True,True,texverse-148.jpg
149,Signature Olive Polyester Elastane,Blends,Polyester Elastane,Vardhman Fabrics,Olive,323,750,3200,True,True,texverse-149.jpg
150,Commercial Beige Polyester Elastane,Blends,Polyester Elastane,Sapphire Textile Mills,Beige,340,1000,5000,True,True,texverse-150.jpg
151,Premium Cream Water Repellent Fabric,Technical Textiles,Water Repellent Fabric,Sharma Textiles,Cream,667,200,1200,True,True,texverse-151.jpg
152,Classic Grey Water Repellent Fabric,Technical Textiles,Water Repellent Fabric,Global Denim Mills,Grey,684,300,1800,True,True,texverse-152.jpg
153,Export Quality Charcoal Antimicrobial Fabric,Technical Textiles,Antimicrobial Fabric,Royal Silk House,Charcoal,701,500,2500,True,True,texverse-153.jpg
154,High Density Mustard Antimicrobial Fabric,Technical Textiles,Antimicrobial Fabric,Natural Linen Mills,Mustard,718,750,3200,True,True,texverse-154.jpg
155,Soft Touch Rust Fire Retardant Fabric,Technical Textiles,Fire Retardant Fabric,Modern Fiber Industries,Rust,735,1000,5000,True,True,texverse-155.jpg
156,Performance Pink Fire Retardant Fabric,Technical Textiles,Fire Retardant Fabric,Tex Custom House,Pink,752,200,1200,True,True,texverse-156.jpg
157,Professional Ivory UV Resistant Fabric,Technical Textiles,UV Resistant Fabric,Sunrise Fabrics,Ivory,769,300,1800,True,True,texverse-157.jpg
158,Durable Teal UV Resistant Fabric,Technical Textiles,UV Resistant Fabric,Apex Textile Works,Teal,786,500,2500,True,True,texverse-158.jpg
159,Signature Brown Breathable Technical Fabric,Technical Textiles,Breathable Technical Fabric,Bharat Weaves,Brown,623,750,3200,True,True,texverse-159.jpg
160,Commercial Natural Breathable Technical Fabric,Technical Textiles,Breathable Technical Fabric,Prime Looms,Natural,640,1000,5000,True,True,texverse-160.jpg
161,Premium White Industrial Coated Fabric,Technical Textiles,Industrial Coated Fabric,East India Textiles,White,657,200,1200,True,True,texverse-161.jpg
162,Classic Black Industrial Coated Fabric,Technical Textiles,Industrial Coated Fabric,Arvind Fabric Hub,Black,674,300,1800,True,True,texverse-162.jpg
163,Export Quality Navy Laminated Fabric,Technical Textiles,Laminated Fabric,Metro Textile Supply,Navy,691,500,2500,True,True,texverse-163.jpg
164,High Density Royal Blue Laminated Fabric,Technical Textiles,Laminated Fabric,Vardhman Fabrics,Royal Blue,708,750,3200,True,True,texverse-164.jpg
165,Soft Touch Sky Blue Curtain Fabric,Home Textiles,Curtain Fabric,Sapphire Textile Mills,Sky Blue,525,1000,5000,True,True,texverse-165.jpg
166,Performance Maroon Curtain Fabric,Home Textiles,Curtain Fabric,Sharma Textiles,Maroon,542,200,1200,True,True,texverse-166.jpg
167,Professional Wine Upholstery Fabric,Home Textiles,Upholstery Fabric,Global Denim Mills,Wine,559,300,1800,True,True,texverse-167.jpg
168,Durable Bottle Green Upholstery Fabric,Home Textiles,Upholstery Fabric,Royal Silk House,Bottle Green,576,500,2500,True,True,texverse-168.jpg
169,Signature Olive Cushion Fabric,Home Textiles,Cushion Fabric,Natural Linen Mills,Olive,593,750,3200,True,True,texverse-169.jpg
170,Commercial Beige Cushion Fabric,Home Textiles,Cushion Fabric,Modern Fiber Industries,Beige,430,1000,5000,True,True,texverse-170.jpg
171,Premium Cream Bedsheet Fabric,Home Textiles,Bedsheet Fabric,Tex Custom House,Cream,447,200,1200,True,True,texverse-171.jpg
172,Classic Grey Bedsheet Fabric,Home Textiles,Bedsheet Fabric,Sunrise Fabrics,Grey,464,300,1800,True,True,texverse-172.jpg
173,Export Quality Charcoal Table Linen,Home Textiles,Table Linen,Apex Textile Works,Charcoal,481,500,2500,True,True,texverse-173.jpg
174,High Density Mustard Table Linen,Home Textiles,Table Linen,Bharat Weaves,Mustard,498,750,3200,True,True,texverse-174.jpg
175,Soft Touch Rust Towel Fabric,Home Textiles,Towel Fabric,Prime Looms,Rust,515,1000,5000,True,True,texverse-175.jpg
176,Performance Pink Towel Fabric,Home Textiles,Towel Fabric,East India Textiles,Pink,532,200,1200,True,True,texverse-176.jpg
177,Professional Ivory Kitchen Textile,Home Textiles,Kitchen Textile,Arvind Fabric Hub,Ivory,549,300,1800,True,True,texverse-177.jpg
178,Durable Teal Kitchen Textile,Home Textiles,Kitchen Textile,Metro Textile Supply,Teal,566,500,2500,True,True,texverse-178.jpg
179,Signature Brown Mattress Fabric,Home Textiles,Mattress Fabric,Vardhman Fabrics,Brown,583,750,3200,True,True,texverse-179.jpg
180,Commercial Natural Mattress Fabric,Home Textiles,Mattress Fabric,Sapphire Textile Mills,Natural,420,1000,5000,True,True,texverse-180.jpg
181,Premium White Recycled Polyester,Sustainable Textiles,Recycled Polyester,Sharma Textiles,White,477,200,1200,True,True,texverse-181.jpg
182,Classic Black Recycled Polyester,Sustainable Textiles,Recycled Polyester,Global Denim Mills,Black,494,300,1800,True,True,texverse-182.jpg
183,Export Quality Navy Recycled Cotton,Sustainable Textiles,Recycled Cotton,Royal Silk House,Navy,511,500,2500,True,True,texverse-183.jpg
184,High Density Royal Blue Recycled Cotton,Sustainable Textiles,Recycled Cotton,Natural Linen Mills,Royal Blue,528,750,3200,True,True,texverse-184.jpg
185,Soft Touch Sky Blue Organic Hemp,Sustainable Textiles,Organic Hemp,Modern Fiber Industries,Sky Blue,545,1000,5000,True,True,texverse-185.jpg
186,Performance Maroon Organic Hemp,Sustainable Textiles,Organic Hemp,Tex Custom House,Maroon,562,200,1200,True,True,texverse-186.jpg
187,Professional Wine Bamboo Viscose,Sustainable Textiles,Bamboo Viscose,Sunrise Fabrics,Wine,579,300,1800,True,True,texverse-187.jpg
188,Durable Bottle Green Bamboo Viscose,Sustainable Textiles,Bamboo Viscose,Apex Textile Works,Bottle Green,596,500,2500,True,True,texverse-188.jpg
189,Signature Olive Tencel Lyocell,Sustainable Textiles,Tencel Lyocell,Bharat Weaves,Olive,613,750,3200,True,True,texverse-189.jpg
190,Commercial Beige Tencel Lyocell,Sustainable Textiles,Tencel Lyocell,Prime Looms,Beige,630,1000,5000,True,True,texverse-190.jpg
191,Premium Cream Recycled Denim,Sustainable Textiles,Recycled Denim,East India Textiles,Cream,467,200,1200,True,True,texverse-191.jpg
192,Classic Grey Recycled Denim,Sustainable Textiles,Recycled Denim,Arvind Fabric Hub,Grey,484,300,1800,True,True,texverse-192.jpg
193,Export Quality Charcoal Organic Linen,Sustainable Textiles,Organic Linen,Metro Textile Supply,Charcoal,501,500,2500,True,True,texverse-193.jpg
194,High Density Mustard Organic Linen,Sustainable Textiles,Organic Linen,Vardhman Fabrics,Mustard,518,750,3200,True,True,texverse-194.jpg
195,Soft Touch Rust Moisture Wicking,Functional Fabrics,Moisture Wicking,Sapphire Textile Mills,Rust,615,1000,5000,True,True,texverse-195.jpg
196,Performance Pink Moisture Wicking,Functional Fabrics,Moisture Wicking,Sharma Textiles,Pink,632,200,1200,True,True,texverse-196.jpg
197,Professional Ivory Quick Dry,Functional Fabrics,Quick Dry,Global Denim Mills,Ivory,649,300,1800,True,True,texverse-197.jpg
198,Durable Teal Quick Dry,Functional Fabrics,Quick Dry,Royal Silk House,Teal,666,500,2500,True,True,texverse-198.jpg
199,Signature Brown Four Way Stretch,Functional Fabrics,Four Way Stretch,Natural Linen Mills,Brown,683,750,3200,True,True,texverse-199.jpg
200,Commercial Natural Four Way Stretch,Functional Fabrics,Four Way Stretch,Modern Fiber Industries,Natural,700,1000,5000,True,True,texverse-200.jpg
201,Premium White Two Way Stretch,Functional Fabrics,Two Way Stretch,Tex Custom House,White,717,200,1200,True,True,texverse-201.jpg
202,Classic Black Two Way Stretch,Functional Fabrics,Two Way Stretch,Sunrise Fabrics,Black,554,300,1800,True,True,texverse-202.jpg
203,Export Quality Navy Wrinkle Resistant,Functional Fabrics,Wrinkle Resistant,Apex Textile Works,Navy,571,500,2500,True,True,texverse-203.jpg
204,High Density Royal Blue Wrinkle Resistant,Functional Fabrics,Wrinkle Resistant,Bharat Weaves,Royal Blue,588,750,3200,True,True,texverse-204.jpg
205,Soft Touch Sky Blue Easy Care,Functional Fabrics,Easy Care,Prime Looms,Sky Blue,605,1000,5000,True,True,texverse-205.jpg
206,Performance Maroon Easy Care,Functional Fabrics,Easy Care,East India Textiles,Maroon,622,200,1200,True,True,texverse-206.jpg
207,Professional Wine Thermal Fabric,Functional Fabrics,Thermal Fabric,Arvind Fabric Hub,Wine,639,300,1800,True,True,texverse-207.jpg
